키워드순번,품목키워드,키워드레벨,상위키워드순번,판정결과코드,종결여부,사용여부,자동완성용키워드
4150,라이너,1,,,,Y,ㄹㅏㅇㅣㄴㅓ
4149,고정자,1,,,,Y,ㄱㅗㅈㅓㅇㅈㅏ
4148,가스터빈엔진,1,,,,Y,ㄱㅏㅅㅡㅌㅓㅂㅣㄴㅇㅔㄴㅈㅣㄴ
4147,가스터빈 블레이드,1,,,,Y,ㄱㅏㅅㅡㅌㅓㅂㅣㄴ ㅂㅡㄹㄹㅔㅇㅣㄷㅡ
4146,최소 수선 면적 선박,1,,,,Y,ㅊㅚㅅㅗ ㅅㅜㅅㅓㄴ ㅁㅕㄴㅈㅓㄱ ㅅㅓㄴㅂㅏㄱ
4145,수중익선,1,,,,Y,ㅅㅜㅈㅜㅇㅇㅣㄱㅅㅓㄴ
4144,표면효과선,1,,,,Y,ㅍㅛㅁㅕㄴㅎㅛㄱㅘㅅㅓㄴ
4143,표면효과선,1,,,,Y,ㅍㅛㅁㅕㄴㅎㅛㄱㅘㅅㅓㄴ
4142,프로펠러,1,,,,Y,ㅍㅡㄹㅗㅍㅔㄹㄹㅓ
4141,폐회로 보조제어,1,,,,Y,ㅍㅖㅎㅚㄹㅗ ㅂㅗㅈㅗㅈㅔㅇㅓ
4140,펌프젯 추진,1,,,,Y,ㅍㅓㅁㅍㅡㅈㅔㅅ ㅊㅜㅈㅣㄴ
4139,추진엔진,1,,,,Y,ㅊㅜㅈㅣㄴㅇㅔㄴㅈㅣㄴ
4138,자동제어,1,,,,Y,ㅈㅏㄷㅗㅇㅈㅔㅇㅓ
4137,소음기,1,,,,Y,ㅅㅗㅇㅡㅁㄱㅣ
4136,마그네틱 베어링,1,,,,Y,ㅁㅏㄱㅡㄴㅔㅌㅣㄱ ㅂㅔㅇㅓㄹㅣㅇ
4404,라듐-226 금속,2,194,1,Y,Y,ㄹㅏㄷㅠㅁ-226 ㄱㅡㅁㅅㅗㄱ
4403,1ms 이상의 지속 신호에서 임의의 무선전송장비의 전파방향각 탐지,2,2143,2,,Y,1ms ㅇㅣㅅㅏㅇㅇㅢ ㅈㅣㅅㅗㄱ ㅅㅣㄴㅎㅗㅇㅔㅅㅓ ㅇㅣㅁㅇㅢㅇㅢ ㅁㅜㅅㅓㄴㅈㅓㄴㅅㅗㅇㅈㅏㅇㅂㅣㅇㅢ ㅈㅓㄴㅍㅏㅂㅏㅇㅎㅑㅇㄱㅏㄱ ㅌㅏㅁㅈㅣ
832,오로푸체 바이러스,2,202,1,Y,Y,ㅇㅗㄹㅗㅍㅜㅊㅔ ㅂㅏㅇㅣㄹㅓㅅㅡ
833,토륨 227 원소,2,191,1,Y,Y,ㅌㅗㄹㅠㅁ 227 ㅇㅝㄴㅅㅗ
834,함량 30 wt% 이하 화학혼합물,2,290,2,Y,Y,ㅎㅏㅁㄹㅑㅇ 30 wt% ㅇㅣㅎㅏ ㅎㅘㅎㅏㄱㅎㅗㄴㅎㅏㅂㅁㅜㄹ
835,모든 형태의 넵투늄-237 1g 이하의 선적,2,29,,,Y,ㅁㅗㄷㅡㄴ ㅎㅕㅇㅌㅐㅇㅢ ㄴㅔㅂㅌㅜㄴㅠㅁ-237 1g ㅇㅣㅎㅏㅇㅢ ㅅㅓㄴㅈㅓㄱ
836,사용을 위해 설계되거나 개조된 소프트웨어,2,267,,,Y,ㅅㅏㅇㅛㅇㅇㅡㄹ ㅇㅟㅎㅐ ㅅㅓㄹㄱㅖㄷㅚㄱㅓㄴㅏ ㄱㅐㅈㅗㄷㅚㄴ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ
837,중증급성호흡기증후군 코로나 바이러스,2,202,1,Y,Y,ㅈㅜㅇㅈㅡㅇㄱㅡㅂㅅㅓㅇㅎㅗㅎㅡㅂㄱㅣㅈㅡㅇㅎㅜㄱㅜㄴ ㅋㅗㄹㅗㄴㅏ ㅂㅏㅇㅣㄹㅓㅅㅡ
838,폴리티에닐렌-비닐렌,2,310,,,Y,ㅍㅗㄹㄹㅣㅌㅣㅇㅔㄴㅣㄹㄹㅔㄴ-ㅂㅣㄴㅣㄹㄹㅔㄴ
839,Peronosclerospora philippinensis,2,69,,,Y,Peronosclerospora philippinensis
840,퀴륨 241 원소,2,191,1,Y,Y,ㅋㅟㄹㅠㅁ 241 ㅇㅝㄴㅅㅗ
777,"배치 혼합기, 연속 혼합기 또는 유체에너지 분쇄기",2,197,3,Y,Y,"ㅂㅐㅊㅣ ㅎㅗㄴㅎㅏㅂㄱㅣ, ㅇㅕㄴㅅㅗㄱ ㅎㅗㄴㅎㅏㅂㄱㅣ ㄸㅗㄴㅡㄴ ㅇㅠㅊㅔㅇㅔㄴㅓㅈㅣ ㅂㅜㄴㅅㅙㄱㅣ"
778,60㎛ 미만의 입자가 부피 혹은 중량으로 90% 미만 포함,2,199,2,Y,Y,60㎛ ㅁㅣㅁㅏㄴㅇㅢ ㅇㅣㅂㅈㅏㄱㅏ ㅂㅜㅍㅣ ㅎㅗㄱㅇㅡㄴ ㅈㅜㅇㄹㅑㅇㅇㅡㄹㅗ 90% ㅁㅣㅁㅏㄴ ㅍㅗㅎㅏㅁ
779,폴로늄 208 혼합물,2,191,,,Y,ㅍㅗㄹㄹㅗㄴㅠㅁ 208 ㅎㅗㄴㅎㅏㅂㅁㅜㄹ
780,깨씨무늬병균,2,69,,,Y,ㄲㅐㅆㅣㅁㅜㄴㅢㅂㅕㅇㄱㅠㄴ
781,폭발물 장전량 40g/m 이하,2,279,2,Y,Y,ㅍㅗㄱㅂㅏㄹㅁㅜㄹ ㅈㅏㅇㅈㅓㄴㄹㅑㅇ 40g/m ㅇㅣㅎㅏ
782,마이크로시스틴(시아노지노신),2,60,1,Y,Y,ㅁㅏㅇㅣㅋㅡㄹㅗㅅㅣㅅㅡㅌㅣㄴ(ㅅㅣㅇㅏㄴㅗㅈㅣㄴㅗㅅㅣㄴ)
783,티타늄 합금 봉,2,315,,,Y,ㅌㅣㅌㅏㄴㅠㅁ ㅎㅏㅂㄱㅡㅁ ㅂㅗㅇ
784,가돌리늄 148 혼합물,2,191,,,Y,ㄱㅏㄷㅗㄹㄹㅣㄴㅠㅁ 148 ㅎㅗㄴㅎㅏㅂㅁㅜㄹ
2838,유도시스템용,3,2814,1,Y,Y,ㅇㅠㄷㅗㅅㅣㅅㅡㅌㅔㅁㅇㅛㅇ
2839,유압식,3,2775,1,Y,Y,ㅇㅠㅇㅏㅂㅅㅣㄱ
2840,자동조종 비행장치를 포함,3,2788,1,Y,Y,ㅈㅏㄷㅗㅇㅈㅗㅈㅗㅇ ㅂㅣㅎㅐㅇㅈㅏㅇㅊㅣㄹㅡㄹ ㅍㅗㅎㅏㅁ
2841,자이로안정화장치 포함,3,2788,1,Y,Y,ㅈㅏㅇㅣㄹㅗㅇㅏㄴㅈㅓㅇㅎㅘㅈㅏㅇㅊㅣ ㅍㅗㅎㅏㅁ
2842,전자광학식,3,2775,1,Y,Y,ㅈㅓㄴㅈㅏㄱㅘㅇㅎㅏㄱㅅㅣㄱ
2843,전자기계식,3,2775,1,Y,Y,ㅈㅓㄴㅈㅏㄱㅣㄱㅖㅅㅣㄱ
2844,진동 측정 가속도계,3,2773,3,Y,Y,ㅈㅣㄴㄷㅗㅇ ㅊㅡㄱㅈㅓㅇ ㄱㅏㅅㅗㄱㄷㅗㄱㅖ
2845,진동 측정 가속도계,3,2785,3,Y,Y,ㅈㅣㄴㄷㅗㅇ ㅊㅡㄱㅈㅓㅇ ㄱㅏㅅㅗㄱㄷㅗㄱㅖ
274,부루셀라 수이스,1,,1,Y,Y,ㅂㅜㄹㅜㅅㅔㄹㄹㅏ ㅅㅜㅇㅣㅅㅡ
275,금속 및 화합물,1,,,,Y,ㄱㅡㅁㅅㅗㄱ ㅁㅣㅊ ㅎㅘㅎㅏㅂㅁㅜㄹ
276,합금 소재 제조장비,1,,,,Y,ㅎㅏㅂㄱㅡㅁ ㅅㅗㅈㅐ ㅈㅔㅈㅗㅈㅏㅇㅂㅣ
277,깨씨무늬병균,1,,,,Y,ㄲㅐㅆㅣㅁㅜㄴㅢㅂㅕㅇㄱㅠㄴ
278,중증급성호흡기증후군 코로나 바이러스,1,,1,Y,N,ㅈㅜㅇㅈㅡㅇㄱㅡㅂㅅㅓㅇㅎㅗㅎㅡㅂㄱㅣㅈㅡㅇㅎㅜㄱㅜㄴ ㅋㅗㄹㅗㄴㅏ ㅂㅏㅇㅣㄹㅓㅅㅡ
279,선형절단장약,1,,,,Y,ㅅㅓㄴㅎㅕㅇㅈㅓㄹㄷㅏㄴㅈㅏㅇㅇㅑㄱ
280,"N,N-디메틸아미노포스포릴 디클로라이드",1,,,,Y,"N,N-ㄷㅣㅁㅔㅌㅣㄹㅇㅏㅁㅣㄴㅗㅍㅗㅅㅡㅍㅗㄹㅣㄹ ㄷㅣㅋㅡㄹㄹㅗㄹㅏㅇㅣㄷㅡ"
281,레늄,1,,,,Y,ㄹㅔㄴㅠㅁ
282,3-퀴뉴클리디놀,1,,,,Y,3-ㅋㅟㄴㅠㅋㅡㄹㄹㅣㄷㅣㄴㅗㄹ
283,시안화나트륨,1,,,,Y,ㅅㅣㅇㅏㄴㅎㅘㄴㅏㅌㅡㄹㅠㅁ
284,몰리브덴,1,,,,Y,ㅁㅗㄹㄹㅣㅂㅡㄷㅔㄴ
285,니파 바이러스,1,,1,Y,Y,ㄴㅣㅍㅏ ㅂㅏㅇㅣㄹㅓㅅㅡ
286,아미톤에 상응하는 수소화 염,1,,,,Y,ㅇㅏㅁㅣㅌㅗㄴㅇㅔ ㅅㅏㅇㅇㅡㅇㅎㅏㄴㅡㄴ ㅅㅜㅅㅗㅎㅘ ㅇㅕㅁ
287,마이코플라즈마 카프리콜럼 아종,1,,1,Y,Y,ㅁㅏㅇㅣㅋㅗㅍㅡㄹㄹㅏㅈㅡㅁㅏ ㅋㅏㅍㅡㄹㅣㅋㅗㄹㄹㅓㅁ ㅇㅏㅈㅗㅇ
288,일본뇌염 바이러스,1,,1,Y,Y,ㅇㅣㄹㅂㅗㄴㄴㅚㅇㅕㅁ ㅂㅏㅇㅣㄹㅓㅅㅡ
289,"인 원자가 하나의 메틸, 에틸 혹은 프로필(노르말 또는 이소)그룹이외의 다른 탄소원자에 결합",1,,2,Y,N,"ㅇㅣㄴ ㅇㅝㄴㅈㅏㄱㅏ ㅎㅏㄴㅏㅇㅢ ㅁㅔㅌㅣㄹ, ㅇㅔㅌㅣㄹ ㅎㅗㄱㅇㅡㄴ ㅍㅡㄹㅗㅍㅣㄹ(ㄴㅗㄹㅡㅁㅏㄹ ㄸㅗㄴㅡㄴ ㅇㅣㅅㅗ)ㄱㅡㄹㅜㅂㅇㅣㅇㅚㅇㅢ ㄷㅏㄹㅡㄴ ㅌㅏㄴㅅㅗㅇㅝㄴㅈㅏㅇㅔ ㄱㅕㄹㅎㅏㅂ"
290,피나콜론,1,,,,Y,ㅍㅣㄴㅏㅋㅗㄹㄹㅗㄴ
291,트리튬,1,,,,Y,ㅌㅡㄹㅣㅌㅠㅁ
292,볼켄신,1,,1,Y,Y,ㅂㅗㄹㅋㅔㄴㅅㅣㄴ
293,모데신,1,,1,Y,Y,ㅁㅗㄷㅔㅅㅣㄴ
294,"N,N-디에틸 아미노에틸-2-클로라이드",1,,,,Y,"N,N-ㄷㅣㅇㅔㅌㅣㄹ ㅇㅏㅁㅣㄴㅗㅇㅔㅌㅣㄹ-2-ㅋㅡㄹㄹㅗㄹㅏㅇㅣㄷㅡ"
4395,통제된 환경에서 제조된 금속합금 분말,2,31,,,Y,ㅌㅗㅇㅈㅔㄷㅚㄴ ㅎㅘㄴㄱㅕㅇㅇㅔㅅㅓ ㅈㅔㅈㅗㄷㅚㄴ ㄱㅡㅁㅅㅗㄱㅎㅏㅂㄱㅡㅁ ㅂㅜㄴㅁㅏㄹ
4394,알루미늄 합금,3,,,,Y,ㅇㅏㄹㄹㅜㅁㅣㄴㅠㅁ ㅎㅏㅂㄱㅡㅁ
4393,티타늄 합금,3,,,,Y,ㅌㅣㅌㅏㄴㅠㅁ ㅎㅏㅂㄱㅡㅁ
4392,니오비움 합금,3,,,,Y,ㄴㅣㅇㅗㅂㅣㅇㅜㅁ ㅎㅏㅂㄱㅡㅁ
4391,분말로부터 제조된 합금,2,321,,,Y,ㅂㅜㄴㅁㅏㄹㄹㅗㅂㅜㅌㅓ ㅈㅔㅈㅗㄷㅚㄴ ㅎㅏㅂㄱㅡㅁ
4390,발포거울구조,2,2325,,,Y,ㅂㅏㄹㅍㅗㄱㅓㅇㅜㄹㄱㅜㅈㅗ
4389,반도체 기판,2,1793,,,Y,ㅂㅏㄴㄷㅗㅊㅔ ㄱㅣㅍㅏㄴ
